Neighborhooods - Analysis Boundaries,Call Type,Call Type Group,Call Number
Glen Park,Traffic Collision,Potentially Life-Threatening,3
Outer Richmond,Outside Fire,Fire,17
Western Addition,Smoke Investigation (Outside),Alarm,1
Mission,Medical Incident,Potentially Life-Threatening,1120
Sunset/Parkside,Traffic Collision,Non Life-threatening,14
Twin Peaks,Medical Incident,,1
North Beach,Traffic Collision,Potentially Life-Threatening,7
Seacliff,Structure Fire,Alarm,12
South of Market,Odor (Strange / Unknown),Alarm,2
McLaren Park,Structure Fire,Alarm,6
Lakeshore,Medical Incident,Potentially Life-Threatening,122
Portola,Medical Incident,Potentially Life-Threatening,105
Mission,Outside Fire,Alarm,2
Twin Peaks,Gas Leak (Natural and LP Gases),Alarm,4
Presidio,Gas Leak (Natural and LP Gases),Alarm,2
Excelsior,Alarms,Alarm,18
Russian Hill,Citizen Assist / Service Call,Alarm,4
Lone Mountain/USF,Odor (Strange / Unknown),Alarm,2
None,Medical Incident,Non Life-threatening,4
Lone Mountain/USF,Electrical Hazard,Alarm,2
Outer Mission,Medical Incident,Non Life-threatening,134
Inner Sunset,Electrical Hazard,Alarm,3
West of Twin Peaks,Medical Incident,Potentially Life-Threatening,260
Bernal Heights,Confined Space / Structure Collapse,,7
North Beach,Other,Non Life-threatening,1
Pacific Heights,Medical Incident,,1
Lakeshore,Outside Fire,Fire,4
Castro/Upper Market,Medical Incident,Potentially Life-Threatening,284
Outer Richmond,Medical Incident,Potentially Life-Threatening,301
Mission,Outside Fire,Fire,53
West of Twin Peaks,Outside Fire,Fire,1
Haight Ashbury,Electrical Hazard,Alarm,1
Pacific Heights,Gas Leak (Natural and LP Gases),Alarm,3
Portola,Outside Fire,Fire,5
Bernal Heights,Traffic Collision,Non Life-threatening,19
Noe Valley,Fuel Spill,Alarm,1
Hayes Valley,Other,Non Life-threatening,1
Mission,Vehicle Fire,Fire,2
Financial District/South Beach,Traffic Collision,Non Life-threatening,43
Western Addition,Other,Alarm,10
McLaren Park,Gas Leak (Natural and LP Gases),Alarm,3
Japantown,Traffic Collision,Potentially Life-Threatening,2
Bayview Hunters Point,Other,Alarm,10
Lakeshore,Vehicle Fire,Fire,3
Inner Richmond,Medical Incident,Potentially Life-Threatening,111
Portola,Vehicle Fire,Fire,4
Tenderloin,Electrical Hazard,Alarm,2
Noe Valley,Other,Alarm,5
Excelsior,Medical Incident,Alarm,4
Twin Peaks,Structure Fire,Alarm,10
